epoch,blocks,active_stake,active_size,delegators_count,rewards,fees,pool_id
283,0,999825743,4.2953101861589536e-08,1,0,0,pool1jh4caf4afnjdgne8m95addh93e7zf6zlnx0pk5flcvylsps7nsp
283,0,998257168,4.288571495719719e-08,2,0,0,pool1zevtw8lsd6xh45v2mfw3ay5rqtgyt5dm77daglqwjnpgjgc0ynp
283,0,9980878114,4.2878439298071926e-07,2,0,0,pool1elhwejflhj060whs842647qk50frje36d66xlpqzvd767xvqk6t
283,0,998000000,4.287466686869089e-08,7,0,0,pool1hdglvd3xn5m0glqx3l8cy73ajdlxzn7ztlvzwuythj95kwnmvwe
283,0,997620818,4.28583769869949e-08,1,0,0,pool1mgpzhdjucv0hyyndzq08la7m5h645wmsat35gxy9fv6au9k7eg4
283,0,99709637341,4.283584653901159e-06,2,0,0,pool1msh7sfurmkgcqswwqg5guf3cxgqz4rkkc57g6f9te5u6y385hhj
283,0,9959689,4.278740961831314e-10,1,0,0,pool16dn08xad2p49akw8h6wjcr9tn9le6jxyv366yjrvhpfzxtscuyr
283,0,99442997,4.2721296280553385e-09,2,0,0,pool1cejaj3e490r9ejf854k3pw0kagglczuaqp69g6g5jzyfxjxgn4h
283,0,99280884,4.265165158245635e-09,2,0,0,pool17d6yemu3wsv9t3lf507z6vuu00slpyw3qstavfdtztjjy42qcp7
283,2,990152664955,4.253754074057328e-05,35,1449406585,351094065,pool1wnshjhwqv9j7fgd4tkynpsqr0xczns4pghljy5j4z4qjj7qy4d4
283,0,9892022,4.2496708207190525e-10,2,0,0,pool1kllc67fn00yqpffw8e9dqnlcaa733h9u5nwx97vhtjlw2t5e56j
283,4,9875451001803,0.0004242551822448731,283,2908054111,391335401,pool1hjjj584gq0ynqf06g036a4a0stpm90asrdfskpasqjxf5948ygv
283,0,983781249,4.226382096446858e-08,1,0,0,pool1rzhyuwfwdzksm9v2ze8playmvdv3u04x9a0tmhg2krx7kt2635t
